anio,esperanza_vida,pib,poblacion
2000,77,8556,15500000
2001,77.4,8727,15700000
2002,77.4,8910,15800000
2003,77.6,9233,16000000
2004,77.9,9748,16200000
2005,78.2,10210,16399999.999999998
2006,78.4,10714,16500000
2007,78.7,11148,16700000
2008,78.6,11447,16900000
2009,78.6,11200,17100000
2010,79,11733,17200000
2011,79.2,12339,17400000
2012,79.3,12973,17600000
2013,79.5,13272,17800000
2014,79.6,13367,18000000
2015,80,13495,18200000
2016,80,13551,18500000
2017,80.1,13540,18700000
2018,80.2,13886,19000000
2019,79.1,13829,19100000
