pais,iso3,anio,esperanza_vida,pib,poblacion
Argentina,ARG,1990,72.7,8149,33100000
Argentina,ARG,1991,72.8,8770,33500000
Argentina,ARG,1992,73,9339,34000000
Argentina,ARG,1993,73.4,9974,34400000
Argentina,ARG,1994,73.4,10423,34800000
Argentina,ARG,1995,73.5,10003,35200000
Argentina,ARG,1996,73.6,10431,35700000
Argentina,ARG,1997,73.7,11147,36100000
Argentina,ARG,1998,73.8,11446,36500000
Argentina,ARG,1999,74.2,10936,36900000
Argentina,ARG,2000,74.3,10731,37300000
Argentina,ARG,2001,74.3,10146,37700000
Argentina,ARG,2002,74.4,8943,38100000
Argentina,ARG,2003,74.9,9630,38500000
Argentina,ARG,2004,75.3,10389,38900000
Argentina,ARG,2005,75.4,11192,39300000
Argentina,ARG,2006,75.3,11971,39700000
Argentina,ARG,2007,75.7,12919,40100000
Argentina,ARG,2008,75.8,13311,40500000
Argentina,ARG,2009,75.9,12398,40900000
Argentina,ARG,2010,76,13551,41300000
Argentina,ARG,2011,76.2,14200,41800000
Argentina,ARG,2012,76.3,13896,42200000
Argentina,ARG,2013,76.5,14072,42600000
Argentina,ARG,2014,76.5,13568,43100000
Argentina,ARG,2015,76.2,13789,43500000
Argentina,ARG,2016,76.3,13360,43900000
Argentina,ARG,2017,76.5,13595,44400000
Argentina,ARG,2018,76.6,13105,44800000
Argentina,ARG,2019,74.6,12713,45200000
Argentina,ARG,2020,76.9,11344,45600000
Bolivia,BOL,1990,62,1744,7010000
Bolivia,BOL,1991,62.5,1798,7160000
Bolivia,BOL,1992,62.9,1789,7310000
Bolivia,BOL,1993,63.6,1827,7470000
Bolivia,BOL,1994,64,1873,7620000
Bolivia,BOL,1995,64.6,1920,7780000
Bolivia,BOL,1996,65,1964,7940000
Bolivia,BOL,1997,65.5,2020,8100000
Bolivia,BOL,1998,66,2080,8260000
Bolivia,BOL,1999,66.5,2048,8420000
Bolivia,BOL,2000,67.2,2059,8580000
Bolivia,BOL,2001,67.6,2054,8740000
Bolivia,BOL,2002,68.1,2066,8910000
Bolivia,BOL,2003,68.6,2083,9070000
Bolivia,BOL,2004,69,2131,9230000
Bolivia,BOL,2005,69.3,2186,9400000
Bolivia,BOL,2006,69.6,2251,9560000
Bolivia,BOL,2007,69.8,2314,9720000
