pais,anio,esperanza_vida,pib,poblacion
Afganistán,1960,45.3,NA,9170000
Afganistán,1961,45.5,NA,9350000
Afganistán,1962,45.7,NA,9540000
Afganistán,1963,45.9,NA,9740000
Afganistán,1964,46.1,NA,9960000
Afganistán,1965,46.3,NA,10200000
Afganistán,1966,46.5,NA,10400000
Afganistán,1967,46.7,NA,10600000
Afganistán,1968,46.9,NA,10900000
Afganistán,1969,47.1,NA,11200000
Afganistán,1970,47.3,NA,11500000
Afganistán,1971,47.3,NA,11800000
Afganistán,1972,47.3,NA,12100000
Afganistán,1973,47.4,NA,12400000
Afganistán,1974,47.5,NA,12700000
Afganistán,1975,47.7,NA,12900000
Afganistán,1976,47.9,NA,13200000
Afganistán,1977,46.4,NA,13300000
Afganistán,1978,44.7,NA,13400000
Afganistán,1979,43.7,NA,13400000
Afganistán,1980,44.3,NA,13200000
Afganistán,1981,44.1,NA,12900000
Afganistán,1982,42.3,NA,12500000
Afganistán,1983,39.9,NA,12200000
Afganistán,1984,42,NA,11900000
Afganistán,1985,43.3,NA,11700000
Afganistán,1986,45.9,NA,11600000
Afganistán,1987,48.5,NA,11600000
Afganistán,1988,52.7,NA,11900000
Afganistán,1989,53.8,NA,12400000
Afganistán,1990,53.8,NA,13300000
Afganistán,1991,54.2,NA,14500000
Afganistán,1992,54.4,NA,15800000
Afganistán,1993,53.9,NA,17100000
Afganistán,1994,54.3,NA,18100000
Afganistán,1995,54.7,NA,18900000
Afganistán,1996,54.5,NA,19400000
Afganistán,1997,53.3,NA,19700000
Afganistán,1998,54.7,NA,20200000
Afganistán,1999,54.7,NA,20800000
Afganistán,2000,54.8,NA,21600000
Afganistán,2001,55.5,NA,22600000
Afganistán,2002,56.5,320,23700000
Afganistán,2003,57.1,332,24700000
Afganistán,2004,57.6,323,25700000
Afganistán,2005,58,346,26400000
Afganistán,2006,58.5,354,27100000
Afganistán,2007,59.2,393,27700000
Afganistán,2008,59.9,399,28400000
Afganistán,2009,60.5,473,29200000
Afganistán,2010,61,526,30100000
Afganistán,2011,61.4,512,31200000
Afganistán,2012,61.9,558,32300000
Afganistán,2013,61.9,569,33400000
Afganistán,2014,61.9,565,34400000
Afganistán,2015,62,556,35400000
Afganistán,2016,62.9,553,36300000
Afganistán,2017,62.7,553,37200000
Afganistán,2018,63.3,547,38000000
Afganistán,2019,63.4,555,38900000
Afganistán,2020,64,530,39800000
Albania,1960,63.3,NA,1690000
Albania,1961,63.3,NA,1740000
Albania,1962,63.8,NA,1790000
Albania,1963,64.4,NA,1840000
Albania,1964,64.8,NA,1900000
Albania,1965,65.5,NA,1950000
Albania,1966,66.1,NA,2000000
Albania,1967,66.5,NA,2050000
Albania,1968,67.1,NA,2100000
Albania,1969,67.8,NA,2150000
Albania,1970,68.3,NA,2200000
Albania,1971,68.8,NA,2250000
Albania,1972,69.3,NA,2310000
